order_id,client_id,location_id,employee_id,registration_date,order_status_id,total_amount,notes
51,6,7,13,2026-04-06,3,59.80,Pago dividido en dos cuotas
52,6,1,2,2024-12-19,3,3674.40,Pedido entregado en horario solicitado
53,6,8,15,2025-12-20,4,22.50,Devolución parcial procesada
54,6,2,4,2025-07-11,2,52.90,"Cliente recurrente, prioridad alta"
55,6,6,11,2026-04-17,5,499.00,Devolución parcial procesada
56,6,6,12,2025-04-09,4,445.20,Coordinación con logística externa
57,6,3,5,2025-12-28,4,17.40,Entrega coordinada desde tienda
58,6,1,2,2026-01-15,4,85.40,Compra para evento corporativo
59,7,9,17,2026-04-08,3,8.90,Aplicada política de cliente VIP
60,7,1,1,2025-12-29,1,263.80,Compra para evento corporativo
61,7,6,12,2026-02-10,4,64.90,Venta con seguimiento comercial
62,7,2,3,2026-04-09,3,323.50,Venta con seguimiento comercial
63,7,4,7,2026-02-02,2,148.95,Pedido entregado en horario solicitado
64,7,6,12,2025-12-17,6,222.00,
65,7,4,7,2026-03-24,4,199.60,Venta con seguimiento comercial
66,8,3,6,2026-04-23,1,98.75,Aplicado descuento promocional
67,8,9,18,2026-04-25,2,260.00,Aplicada política de cliente VIP
68,8,4,7,2026-04-25,4,89.40,Aplicado descuento promocional
69,8,7,14,2026-04-18,4,888.00,Aplicada política de cliente VIP
70,8,8,15,2026-04-18,4,59.40,Devolución parcial procesada
71,9,3,5,2024-12-14,4,203.55,Devolución parcial procesada
72,9,7,13,2025-12-31,4,149.30,Aplicado descuento promocional
73,9,6,12,2026-03-09,4,59.80,"Cliente nuevo, primera compra"
74,9,4,8,2024-08-23,4,17.50,Coordinación con logística externa
75,9,6,12,2024-09-26,4,521.50,
76,9,7,14,2025-05-20,5,2509.55,"Cliente recurrente, prioridad alta"
77,9,4,8,2025-04-08,4,1048.95,Pago realizado con transferencia bancaria
78,9,6,12,2025-04-21,4,2143.90,Compra para evento corporativo
79,9,4,7,2026-03-14,4,244.60,Pedido entregado en horario solicitado
80,9,1,2,2025-12-17,4,214.50,Aplicada política de cliente VIP
81,9,2,4,2024-12-15,4,556.90,Cliente solicitó comprobante electrónico
82,9,7,13,2025-05-16,4,196.00,Coordinación con logística externa
83,9,4,7,2025-11-23,4,349.75,Venta con seguimiento comercial
84,9,1,1,2024-07-04,4,106.80,Pedido entregado en horario solicitado
85,9,6,12,2026-02-14,4,1264.85,Devolución parcial procesada
86,9,9,18,2025-05-31,5,48.90,"Cliente recurrente, prioridad alta"
87,9,1,2,2025-11-07,6,833.50,Compra para evento corporativo
88,9,3,6,2025-04-23,3,1917.80,Compra para evento corporativo
89,9,3,5,2025-05-16,4,61.70,Venta con seguimiento comercial
90,9,4,7,2026-01-01,4,429.40,Aplicada política de cliente VIP
91,9,5,10,2024-11-28,4,24.90,Compra para evento corporativo
92,9,9,17,2025-07-18,4,5650.40,Pago dividido en dos cuotas
93,9,8,16,2024-10-28,2,206.40,Pedido entregado en horario solicitado
94,9,3,5,2024-12-05,2,179.80,Entrega coordinada desde tienda
95,9,3,6,2024-12-12,4,11.50,Solicitud especial de empaque
96,9,3,6,2024-05-23,4,217.90,Compra para evento corporativo
97,9,4,7,2024-11-25,3,73.80,Aplicada política de cliente VIP
98,9,2,3,2024-11-23,3,239.30,Aplicado descuento promocional
99,9,5,9,2025-12-22,4,239.40,Compra para evento corporativo
100,9,1,2,2025-01-09,3,293.50,Aplicado descuento promocional
101,9,1,1,2025-08-16,4,808.60,
102,10,9,18,2025-01-18,4,514.30,Entrega coordinada desde tienda
103,10,1,1,2025-12-27,4,258.70,Aplicada política de cliente VIP
104,10,8,16,2025-07-31,4,38.70,Pago dividido en dos cuotas
105,10,1,2,2025-12-08,5,3695.20,Aplicado descuento promocional
106,10,3,5,2023-12-27,3,463.10,Cliente solicitó comprobante electrónico
107,10,3,6,2024-05-16,4,332.10,Entrega coordinada desde tienda
108,11,1,1,2025-11-25,4,1739.70,Coordinación con logística externa
109,11,6,11,2026-04-08,4,257.40,Devolución parcial procesada
110,11,8,15,2025-12-21,1,532.70,Solicitud especial de empaque
111,11,2,4,2026-01-05,4,885.75,
112,11,1,1,2025-12-14,5,120.90,Cliente solicitó comprobante electrónico
113,11,8,15,2026-04-14,4,9.80,Compra para evento corporativo
114,12,6,11,2025-12-05,4,92.50,Compra para evento corporativo
115,13,4,8,2025-10-15,4,158.30,Compra para evento corporativo
116,13,8,15,2025-08-03,4,213.10,Aplicado descuento promocional
117,14,3,6,2026-02-04,4,168.40,"Cliente recurrente, prioridad alta"
118,14,6,11,2026-04-27,1,515.30,Aplicado descuento promocional
119,15,6,12,2026-04-06,4,346.70,Pedido entregado en horario solicitado
120,16,4,7,2026-04-27,4,243.40,Pedido entregado en horario solicitado
121,16,9,18,2026-04-26,1,104.70,Aplicada política de cliente VIP
122,16,1,1,2026-04-28,3,555.80,Coordinación con logística externa
123,16,2,4,2026-04-26,4,21.90,Aplicada política de cliente VIP
124,16,3,5,2026-04-29,4,755.20,
125,16,1,1,2026-04-27,4,143.50,Aplicada política de cliente VIP
126,16,8,16,2026-04-26,4,427.50,"Cliente nuevo, primera compra"
127,16,4,7,2026-04-28,4,500.80,Coordinación con logística externa
128,16,3,6,2026-04-27,4,479.00,Aplicado descuento promocional
129,16,8,16,2026-04-26,3,419.00,Entrega coordinada desde tienda
130,16,4,7,2026-04-29,4,123.50,Devolución parcial procesada
131,16,2,3,2026-04-27,3,144.00,Coordinación con logística externa
132,16,7,13,2026-04-28,2,179.70,"Cliente recurrente, prioridad alta"
133,16,3,6,2026-04-26,3,345.50,Pago realizado con transferencia bancaria
134,16,9,18,2026-04-27,4,3367.25,Solicitud especial de empaque
135,16,4,8,2026-04-29,4,314.50,Devolución parcial procesada
136,16,3,5,2026-04-27,4,152.50,Solicitud especial de empaque
137,16,1,1,2026-04-28,5,123.75,Compra para evento corporativo
138,16,3,6,2026-04-28,1,189.50,Aplicada política de cliente VIP
139,16,6,11,2026-04-29,1,6493.70,Aplicada política de cliente VIP
140,16,3,5,2026-04-28,3,904.40,Entrega coordinada desde tienda
141,16,8,16,2026-04-29,2,310.60,Cliente solicitó comprobante electrónico
142,16,8,15,2026-04-29,4,303.30,Pago dividido en dos cuotas
143,16,7,13,2026-04-27,4,20.80,Aplicada política de cliente VIP
144,16,3,5,2026-04-26,3,716.90,Pago dividido en dos cuotas
145,16,1,1,2026-04-28,4,268.30,Aplicada política de cliente VIP
146,16,7,13,2026-04-29,4,159.60,Entrega coordinada desde tienda
147,16,4,7,2026-04-27,2,255.15,Venta con seguimiento comercial
148,16,2,3,2026-04-26,4,33.80,Aplicada política de cliente VIP
149,16,1,1,2026-04-28,4,80.10,Pago dividido en dos cuotas
150,16,8,15,2026-04-26,2,1733.35,Venta con seguimiento comercial
151,16,2,3,2026-04-29,1,159.40,Pedido entregado en horario solicitado
152,16,3,5,2026-04-26,1,436.10,Cliente solicitó comprobante electrónico
153,16,3,6,2026-04-25,6,52.50,
154,16,5,10,2026-04-29,4,630.85,Pedido entregado en horario solicitado
155,16,4,7,2026-04-28,3,366.30,Cliente solicitó comprobante electrónico
156,16,2,4,2026-04-26,3,11.70,Devolución parcial procesada
157,16,2,3,2026-04-29,4,5482.35,Solicitud especial de empaque
158,17,5,9,2024-07-14,4,6.90,Aplicado descuento promocional
159,18,9,17,2025-12-31,2,95.30,Solicitud especial de empaque
160,18,5,10,2026-01-27,4,781.50,"Cliente recurrente, prioridad alta"
161,18,4,8,2026-02-23,4,905.70,Coordinación con logística externa
162,18,2,4,2026-01-19,4,67.60,Solicitud especial de empaque
163,18,1,2,2026-03-04,4,282.10,Venta con seguimiento comercial
164,18,2,4,2026-02-22,5,76.50,Pedido entregado en horario solicitado
165,18,2,3,2026-04-22,5,92.20,Entrega coordinada desde tienda
166,18,6,12,2026-02-05,3,1507.00,Pedido entregado en horario solicitado
167,19,8,15,2025-02-04,4,265.70,Coordinación con logística externa
168,20,3,6,2025-12-05,4,558.00,Solicitud especial de empaque
169,21,8,15,2026-04-21,2,494.60,Aplicado descuento promocional
170,22,1,1,2025-08-20,3,124.50,Aplicado descuento promocional
171,22,4,7,2025-04-05,4,189.80,"Cliente recurrente, prioridad alta"
172,22,4,7,2024-09-23,1,1207.20,Venta con seguimiento comercial
173,22,3,6,2025-03-02,5,146.10,"Cliente recurrente, prioridad alta"
174,22,6,12,2026-02-04,4,788.00,Solicitud especial de empaque
175,23,4,8,2026-02-04,4,4542.70,Aplicada política de cliente VIP
176,23,4,7,2025-10-09,4,688.45,Cliente solicitó comprobante electrónico
177,23,3,6,2025-05-07,3,145.95,Aplicada política de cliente VIP
178,23,2,4,2026-01-16,4,318.80,Coordinación con logística externa
179,23,7,14,2025-12-23,4,435.60,Pedido entregado en horario solicitado
180,23,1,1,2026-02-24,2,184.60,"Cliente recurrente, prioridad alta"
181,24,3,5,2024-11-03,4,265.80,Pago dividido en dos cuotas
182,25,5,9,2025-03-12,4,96.75,Aplicada política de cliente VIP
183,25,2,3,2025-09-13,4,237.40,Compra para evento corporativo
184,25,4,8,2025-09-24,1,534.75,Pago dividido en dos cuotas
185,25,3,5,2025-04-16,6,154.30,Venta con seguimiento comercial
186,25,6,11,2025-10-17,4,338.20,"Cliente nuevo, primera compra"
187,26,6,11,2026-02-12,4,151.05,"Cliente nuevo, primera compra"
188,26,9,17,2024-11-15,4,673.50,Aplicada política de cliente VIP
189,26,1,2,2025-05-28,4,436.70,Devolución parcial procesada
190,26,2,4,2025-11-21,4,72.00,Aplicada política de cliente VIP
191,26,1,2,2025-03-19,3,487.15,"Cliente recurrente, prioridad alta"
192,27,7,13,2023-04-09,4,184.60,Pago dividido en dos cuotas
193,28,2,3,2025-04-30,3,774.50,Compra para evento corporativo
194,29,8,15,2025-12-01,2,84.00,Coordinación con logística externa
195,29,6,11,2025-07-16,4,607.70,Aplicado descuento promocional
196,29,1,1,2026-01-26,3,151.60,"Cliente recurrente, prioridad alta"
197,29,4,8,2025-09-01,3,130.30,Solicitud especial de empaque
198,29,5,10,2025-07-02,6,335.00,Entrega coordinada desde tienda
199,30,3,5,2025-04-11,2,159.60,Pedido entregado en horario solicitado
200,30,3,6,2024-09-16,4,119.00,Venta con seguimiento comercial
201,30,3,5,2025-05-21,4,14.40,Pago realizado con transferencia bancaria
202,30,1,2,2025-09-27,4,750.20,Pago dividido en dos cuotas
203,30,8,16,2025-08-24,4,109.80,Entrega coordinada desde tienda
204,31,1,2,2026-01-13,4,84.50,"Cliente recurrente, prioridad alta"
205,32,2,4,2026-04-05,4,1071.00,Venta con seguimiento comercial
206,32,1,1,2025-12-10,2,755.00,Coordinación con logística externa
207,32,4,7,2026-04-21,4,1114.30,Solicitud especial de empaque
208,32,9,17,2026-03-18,4,248.60,Venta con seguimiento comercial
209,33,8,15,2024-07-17,4,596.20,Pago realizado con transferencia bancaria
210,33,4,7,2026-02-27,5,837.50,Pedido entregado en horario solicitado
211,33,2,3,2024-12-06,4,543.80,Pago dividido en dos cuotas
212,33,6,12,2024-04-24,3,1822.50,Aplicado descuento promocional
213,33,1,2,2023-09-11,4,319.40,Pago dividido en dos cuotas
214,33,4,8,2025-10-02,2,4948.50,Pedido entregado en horario solicitado
215,33,1,2,2024-12-24,3,107.00,"Cliente nuevo, primera compra"
216,33,6,12,2024-04-17,3,144.10,Entrega coordinada desde tienda
217,33,2,3,2024-11-03,5,338.50,Solicitud especial de empaque
218,33,3,6,2025-05-30,1,208.30,Pedido entregado en horario solicitado
219,33,2,3,2024-03-26,1,727.55,"Cliente recurrente, prioridad alta"
220,34,6,11,2026-04-27,4,89.25,Pedido entregado en horario solicitado
221,34,1,1,2026-04-25,3,123.30,Pago dividido en dos cuotas
222,35,1,1,2025-10-07,4,180.30,Pedido entregado en horario solicitado
223,36,7,13,2025-10-03,4,708.50,Devolución parcial procesada
224,36,9,17,2025-12-17,4,71.45,Entrega coordinada desde tienda
225,36,1,2,2025-10-26,4,463.50,Aplicado descuento promocional
226,36,9,18,2025-06-03,5,669.60,Aplicado descuento promocional
227,36,6,12,2025-12-08,4,609.30,Pago realizado con transferencia bancaria
228,36,5,9,2025-03-24,4,339.10,Compra para evento corporativo
229,36,3,6,2025-11-22,3,236.25,Compra para evento corporativo
230,37,6,11,2025-03-06,4,266.40,Solicitud especial de empaque
231,37,7,13,2025-04-08,4,1399.60,Aplicada política de cliente VIP
232,37,2,3,2026-03-11,4,64.50,"Cliente nuevo, primera compra"
233,37,2,4,2024-10-09,4,313.65,Cliente solicitó comprobante electrónico
234,37,4,8,2023-12-31,2,2325.60,Solicitud especial de empaque
235,37,2,3,2025-12-14,3,295.15,"Cliente recurrente, prioridad alta"
236,38,2,4,2025-11-30,4,337.50,
237,38,7,13,2025-07-02,4,678.10,Solicitud especial de empaque
238,38,2,4,2025-11-08,4,188.85,Aplicada política de cliente VIP
239,38,5,10,2026-04-02,4,491.40,Solicitud especial de empaque
240,38,2,3,2025-03-17,4,691.70,Pago dividido en dos cuotas
241,38,2,4,2026-02-23,3,548.90,Pedido entregado en horario solicitado
242,38,6,11,2025-08-23,4,1031.55,Compra para evento corporativo
243,38,7,14,2026-02-28,4,310.75,Venta con seguimiento comercial
244,38,1,1,2025-05-01,4,146.00,
245,38,2,4,2025-09-30,4,897.70,Aplicado descuento promocional
246,38,2,3,2025-12-05,4,247.40,Aplicada política de cliente VIP
247,38,1,2,2025-09-16,4,1420.70,Aplicado descuento promocional
248,39,1,1,2025-12-02,4,630.80,Pedido entregado en horario solicitado
249,39,3,6,2025-07-05,6,322.15,Pago dividido en dos cuotas
250,39,8,16,2025-04-14,3,1192.50,Entrega coordinada desde tienda
251,39,9,18,2026-04-26,4,117.80,"Cliente nuevo, primera compra"
252,39,2,3,2026-03-28,5,1164.10,Pago dividido en dos cuotas
253,39,1,2,2025-12-27,3,195.70,Venta con seguimiento comercial
254,39,2,4,2024-11-02,6,347.80,Pedido entregado en horario solicitado
255,39,1,2,2026-02-09,4,140.50,
256,39,7,13,2026-04-25,4,464.50,Aplicado descuento promocional
257,39,1,2,2025-04-18,4,529.70,Pedido entregado en horario solicitado
258,39,3,6,2025-12-20,4,101.50,Entrega coordinada desde tienda
259,40,3,5,2026-04-29,6,123.50,Pedido entregado en horario solicitado
260,40,1,1,2026-04-26,3,53.00,Pedido entregado en horario solicitado
261,40,2,3,2026-04-28,2,545.90,Solicitud especial de empaque
262,40,5,9,2026-04-27,4,470.00,Solicitud especial de empaque
263,40,9,18,2026-04-29,4,43.80,Coordinación con logística externa
264,40,9,17,2026-04-28,4,326.70,Coordinación con logística externa
265,40,2,3,2026-04-29,5,3726.40,Pedido entregado en horario solicitado
266,40,4,8,2026-04-27,2,59.00,Coordinación con logística externa
267,40,6,12,2026-04-27,4,3464.30,
268,40,4,7,2026-04-28,4,393.70,
269,40,6,12,2026-04-27,1,275.00,Pago realizado con transferencia bancaria
270,40,8,15,2026-04-27,1,4658.20,Compra para evento corporativo
271,40,9,17,2026-04-29,4,246.50,Pedido entregado en horario solicitado
272,40,4,8,2026-04-29,3,615.10,"Cliente nuevo, primera compra"
273,40,2,3,2026-04-28,1,20.25,Cliente solicitó comprobante electrónico
274,40,9,18,2026-04-28,1,142.85,"Cliente nuevo, primera compra"
275,40,7,14,2026-04-26,4,421.75,"Cliente nuevo, primera compra"
276,40,5,9,2026-04-26,2,384.90,
277,40,4,7,2026-04-29,4,259.60,
278,40,1,1,2026-04-27,4,735.05,Coordinación con logística externa
279,40,2,3,2026-04-25,3,2397.00,Pago dividido en dos cuotas
280,40,1,1,2026-04-26,1,288.00,Entrega coordinada desde tienda
281,40,9,18,2026-04-26,4,67.60,Aplicada política de cliente VIP
282,40,9,17,2026-04-29,4,696.80,"Cliente nuevo, primera compra"
283,40,4,8,2026-04-27,4,271.90,Pedido entregado en horario solicitado
284,40,6,12,2026-04-27,4,23.00,Entrega coordinada desde tienda
285,40,3,6,2026-04-27,2,752.80,Pago dividido en dos cuotas
286,40,1,2,2026-04-27,4,607.80,Aplicada política de cliente VIP
287,41,4,8,2026-01-08,4,314.00,Pago realizado con transferencia bancaria
288,42,5,10,2026-04-23,3,2397.00,"Cliente nuevo, primera compra"
289,43,3,6,2026-03-17,1,89.45,Pago dividido en dos cuotas
290,43,3,6,2026-02-26,4,83.80,Devolución parcial procesada
291,44,1,2,2026-03-25,5,119.00,Cliente solicitó comprobante electrónico
292,44,8,16,2025-08-29,3,23.40,"Cliente recurrente, prioridad alta"
293,44,1,1,2026-03-17,3,465.70,Solicitud especial de empaque
294,44,1,2,2025-12-11,4,253.80,Pago realizado con transferencia bancaria
295,44,2,4,2025-11-02,4,220.30,Devolución parcial procesada
296,44,4,8,2025-11-24,3,144.50,Pago dividido en dos cuotas
297,44,7,14,2026-01-02,4,574.20,Aplicado descuento promocional
298,44,2,3,2026-03-09,4,323.25,Devolución parcial procesada
299,44,5,10,2025-11-12,4,58.70,Pago realizado con transferencia bancaria
300,44,3,6,2025-11-17,3,51.60,Coordinación con logística externa
301,44,6,11,2025-12-07,3,179.70,Aplicado descuento promocional
302,44,8,16,2025-11-27,4,19.50,Solicitud especial de empaque
303,44,7,14,2025-10-16,4,1218.00,"Cliente nuevo, primera compra"
304,44,3,5,2026-04-08,3,191.85,Pedido entregado en horario solicitado
305,44,2,3,2025-11-06,3,1085.15,"Cliente nuevo, primera compra"
306,44,3,5,2025-06-28,4,66.25,Solicitud especial de empaque
307,44,3,6,2025-11-07,4,720.80,"Cliente recurrente, prioridad alta"
308,45,8,16,2026-01-10,2,2685.95,Devolución parcial procesada
309,45,6,12,2022-10-11,4,727.50,Devolución parcial procesada
310,45,2,4,2026-04-17,4,167.30,Coordinación con logística externa
311,45,1,2,2025-06-22,4,683.10,Pago realizado con transferencia bancaria
312,45,3,6,2025-03-26,1,303.70,Venta con seguimiento comercial
313,45,4,7,2022-12-08,1,235.60,Coordinación con logística externa
314,45,2,3,2025-05-12,4,3.90,Compra para evento corporativo
315,45,1,2,2026-02-06,3,425.90,Pedido entregado en horario solicitado
316,45,5,9,2025-05-27,3,486.00,Entrega coordinada desde tienda
317,45,4,7,2024-05-25,4,129.40,Cliente solicitó comprobante electrónico
318,45,1,1,2026-01-31,4,73.60,Coordinación con logística externa
319,45,1,2,2026-01-18,2,91.00,Compra para evento corporativo
320,45,4,8,2023-03-14,4,139.60,Solicitud especial de empaque
321,45,4,8,2025-07-08,2,759.05,
322,45,1,1,2023-11-28,4,658.10,"Cliente nuevo, primera compra"
323,45,5,10,2025-11-25,4,253.25,Aplicado descuento promocional
324,45,5,10,2023-07-26,4,147.70,Pedido entregado en horario solicitado
325,46,4,8,2024-12-22,2,147.30,Cliente solicitó comprobante electrónico
326,46,5,9,2025-08-04,4,397.80,Cliente solicitó comprobante electrónico
327,47,8,15,2026-04-28,4,184.90,Solicitud especial de empaque
328,47,9,17,2026-04-16,4,124.35,Pago dividido en dos cuotas
329,47,6,12,2026-03-28,4,905.10,Devolución parcial procesada
330,47,7,13,2026-02-18,2,262.10,"Cliente recurrente, prioridad alta"
331,47,9,18,2026-03-22,2,280.70,Aplicada política de cliente VIP
332,47,2,3,2026-02-13,2,17.50,Cliente solicitó comprobante electrónico
333,47,3,6,2026-04-12,4,212.25,"Cliente recurrente, prioridad alta"
334,47,1,1,2026-03-24,4,158.40,Devolución parcial procesada
335,47,3,5,2026-02-06,4,174.50,"Cliente nuevo, primera compra"
336,47,5,9,2026-01-26,4,229.60,"Cliente recurrente, prioridad alta"
337,47,8,15,2026-03-02,2,115.35,Venta con seguimiento comercial
338,47,5,9,2026-04-11,4,146.70,Compra para evento corporativo
339,47,4,7,2026-04-23,3,119.80,Aplicado descuento promocional
340,47,3,5,2026-03-27,1,27.00,Aplicado descuento promocional
341,47,6,11,2026-03-15,4,13.50,Entrega coordinada desde tienda
342,47,1,2,2026-03-03,2,113.40,Venta con seguimiento comercial
343,48,7,13,2024-12-18,6,3.90,Cliente solicitó comprobante electrónico
344,49,3,6,2025-11-10,4,406.10,Coordinación con logística externa
345,49,8,15,2025-05-08,4,56.25,Aplicado descuento promocional
346,49,6,11,2025-10-19,1,445.70,Aplicado descuento promocional
347,49,7,13,2025-03-16,6,203.30,Pago realizado con transferencia bancaria
348,49,8,16,2026-02-22,4,624.80,Pago dividido en dos cuotas
349,49,9,18,2025-12-26,4,2530.35,Pago dividido en dos cuotas
350,49,1,1,2026-01-14,4,665.30,Aplicado descuento promocional
351,49,1,1,2025-12-22,4,54.50,Pago realizado con transferencia bancaria
352,49,8,15,2025-12-16,2,87.80,Cliente solicitó comprobante electrónico
353,49,8,15,2026-04-17,4,715.50,Pago realizado con transferencia bancaria
354,49,8,15,2026-01-29,3,36.40,Cliente solicitó comprobante electrónico
355,49,4,8,2025-04-25,1,3586.30,Compra para evento corporativo
356,50,4,7,2025-12-15,4,135.50,Pedido entregado en horario solicitado
357,50,3,5,2025-11-02,4,525.90,Cliente solicitó comprobante electrónico
358,50,5,9,2025-12-28,4,121.00,"Cliente nuevo, primera compra"
359,50,2,3,2026-02-22,5,880.10,Aplicada política de cliente VIP
360,50,2,4,2026-02-11,4,21.75,Venta con seguimiento comercial
361,50,9,18,2026-03-13,4,101.10,Compra para evento corporativo
362,50,2,3,2025-12-14,5,168.60,Pago realizado con transferencia bancaria
363,50,1,2,2026-03-29,4,396.50,Entrega coordinada desde tienda
364,50,1,1,2026-04-10,6,21.60,
365,50,6,11,2026-01-23,4,206.25,Devolución parcial procesada
366,50,7,14,2026-04-16,4,395.80,Coordinación con logística externa
367,50,5,10,2025-11-06,4,238.20,Venta con seguimiento comercial
368,50,1,2,2025-12-15,4,94.20,Solicitud especial de empaque
369,50,4,8,2026-04-12,4,157.10,Aplicado descuento promocional
370,50,9,17,2026-04-12,5,528.05,
371,50,1,1,2026-02-14,4,199.50,"Cliente nuevo, primera compra"
372,50,6,11,2026-01-29,4,751.90,"Cliente recurrente, prioridad alta"
373,50,2,3,2026-03-30,4,335.80,Solicitud especial de empaque
374,50,4,8,2026-01-02,3,1970.20,Aplicado descuento promocional
375,51,2,3,2026-03-09,4,512.00,"Cliente nuevo, primera compra"
376,52,4,8,2025-09-19,4,109.70,Pedido entregado en horario solicitado
377,53,3,5,2025-08-27,4,540.00,
378,53,9,18,2025-11-21,3,106.10,Entrega coordinada desde tienda
379,53,7,14,2025-12-04,4,1254.70,"Cliente recurrente, prioridad alta"
380,53,3,6,2024-11-03,4,158.50,Aplicada política de cliente VIP
381,53,4,7,2026-01-03,4,525.70,Venta con seguimiento comercial
382,54,3,5,2025-12-09,4,210.00,Solicitud especial de empaque
383,55,9,18,2023-11-29,4,1643.80,Coordinación con logística externa
384,55,2,4,2024-07-16,1,290.40,Aplicada política de cliente VIP
385,55,8,15,2024-07-20,2,82.40,Compra para evento corporativo
386,55,2,4,2026-02-10,4,846.80,Aplicada política de cliente VIP
387,55,4,7,2025-02-14,5,123.05,Devolución parcial procesada
388,55,7,13,2025-07-30,4,883.25,Aplicada política de cliente VIP
389,55,1,1,2024-11-24,3,829.20,Pedido entregado en horario solicitado
390,55,2,4,2024-03-25,4,634.20,Devolución parcial procesada
391,55,3,6,2024-03-27,4,244.80,Aplicado descuento promocional
392,55,1,2,2024-09-04,4,164.90,Pago realizado con transferencia bancaria
393,55,6,12,2023-05-30,4,172.10,Pago dividido en dos cuotas
394,55,4,8,2025-03-29,4,104.00,Entrega coordinada desde tienda
395,55,4,8,2023-08-19,4,387.70,Solicitud especial de empaque
396,55,1,2,2023-04-15,4,123.00,Aplicado descuento promocional
397,55,2,4,2024-11-09,4,19.75,Coordinación con logística externa
398,55,5,9,2025-04-28,4,152.40,Compra para evento corporativo
399,55,5,10,2025-05-02,5,184.15,Pago dividido en dos cuotas
400,55,8,16,2025-12-28,2,323.80,Devolución parcial procesada
401,56,3,5,2025-03-16,4,1028.50,Coordinación con logística externa
402,57,2,4,2026-03-20,4,294.10,"Cliente recurrente, prioridad alta"
403,57,1,2,2025-04-01,4,321.80,
404,58,5,9,2025-08-29,4,225.80,Compra para evento corporativo
405,59,9,18,2025-12-30,4,169.90,
406,60,2,3,2026-01-04,2,509.30,Compra para evento corporativo
407,60,6,12,2026-01-14,4,256.00,Aplicada política de cliente VIP
408,60,6,11,2025-08-15,3,553.15,Pedido entregado en horario solicitado
